汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
櫌,Ưu,ɯw1,平聲,yōu,流,平,尤,影,開,三,全清,於,求,,,,,,,,,,,
櫍,Chất,tʂɤt7,銳入,zhì,臻,入,質,章,開,三,全清,之,日,,,,,,,,,,,
櫓,Lỗ,lo4,跌聲,lǔ,遇,上,姥,來,合,一,次濁,郎,古,,,,,,,,,,,
櫜,Cao,ka:w1,平聲,gāo,效,平,豪,見,開,一,全清,古,勞,,,,,,,,,,,
櫝,Độc,dok8,重入,dú,通,入,屋,定,合,一,全濁,徒,谷,,,,,,,,,,,
櫞,Duyên,zwien1,平聲,yuán,山,平,仙,以,合,三,次濁,與,專,,,,,,,,,,,
櫟,Lịch,liʧ8,重入,lì,梗,入,錫,來,開,四,次濁,郎,擊,,,,,,,,,,,
櫫,Trư,tʂɯ1,平聲,zhū,遇,平,魚,知,開,三,全清,陟,魚,,,,,,,,,,,
歠,Xuyết,swiet7,銳入,chuò,山,入,薛,昌,合,三,次清,昌,悅,,,,,,,,,,,
瀘,Lô,lo1,平聲,lú,遇,平,模,來,合,一,次濁,落,胡,,,,,,,,,,,
瀚,Hãn,ha:n4,跌聲,hàn,山,去,翰,匣,開,一,全濁,侯,旰,,,,,,,,,,,
瀛,Doanh,zwa:ɲ1,平聲,yíng,梗,平,清,以,開,三,次濁,以,成,,,,,,,,,,,
瀜,Dung,zuŋ1,平聲,róng,通,平,東,以,合,三,次濁,以,戎,,,,,,,,,,,
瀝,Lịch,liʧ8,重入,lì,梗,入,錫,來,開,四,次濁,郎,擊,,,,,,,,,,,
瀣,Dới,zɤ:j5,銳聲,xiè,蟹,去,怪,匣,開,二,全濁,胡,介,,,,,,,,,,,
瀧,Lang,la:ŋ1,平聲,lóng,江,平,江,來,開,二,次濁,呂,江,,,,,,,,,,,
瀨,Lại,la:j6,重聲,lài,蟹,去,泰,來,開,一,次濁,落,蓋,,,,,,,,,,,
爆,Bạo,ba:w6,重聲,bào,效,去,效,幫,開,二,全清,北,教,,,,,,,,,,,
爆,Bộc,bok8,重入,bào,江,入,覺,幫,開,二,全清,北,角,,,,,,,,,,,
爍,Thước,t'ɯɤk7,銳入,shuò,宕,入,藥,書,開,三,全清,書,藥,,,,,,,,,,,
牘,Độc,dok8,重入,dú,通,入,屋,定,合,一,全濁,徒,谷,,,,,,,,,,,
犢,Độc,dok8,重入,dú,通,入,屋,定,合,一,全濁,徒,谷,,,,,,,,,,,
獸,Thú,t'u5,銳聲,shòu,流,去,宥,書,開,三,全清,舒,救,,,,,,,,,,,
獺,Thát,t'a:t7,銳入,tà,山,入,曷,透,開,一,次清,他,達,,,,,,,,,,,
璽,Tỉ,ti3,問聲,xǐ,止,上,紙,心,開,三,全清,斯,氏,,,,,,,,,,,
瓈,Lê,le1,平聲,lí,蟹,平,齊,來,開,四,次濁,郎,奚,,,,,,,,,,,
瓣,Biện,bien6,重聲,bàn,山,去,襉,並,開,二,全濁,蒲,莧,,,,,,,,,,,
疆,Cương,kɯɤŋ1,平聲,jiāng,宕,平,陽,見,開,三,全清,居,良,,,,,,,,,,,
疇,Trù,tʂu2,弦聲,chóu,流,平,尤,澄,開,三,全濁,直,由,,,,,,,,,,,
癟,Biết,biet7,銳入,biě,山,入,薛,滂,開,三,次清,芳,滅,,,,,,,,,,,
癡,Si,ʂi1,平聲,chī,止,平,之,徹,開,三,次清,丑,之,,,,,,,,,,,
癢,Dưỡng,zɯɤŋ4,跌聲,yǎng,宕,上,養,以,開,三,次濁,餘,兩,,,,,,,,,,,
癣,Tiển,tien3,問聲,xiǎn,山,上,獮,心,開,三,全清,息,淺,,,,,,,,,,,
矉,Tần,tɤn2,弦聲,bīn,臻,平,真,幫,開,三,全清,必,鄰,,,,,,,,,,,
礙,Ngại,ŋa:j6,重聲,ài,蟹,去,代,疑,開,一,次濁,五,溉,,,,,,,,,,,
礦,Khoáng,xwa:ŋ5,銳聲,kuàng,梗,上,梗,見,合,二,全清,古,猛,,,,,,,,,,,
礪,Lệ,le6,重聲,lì,蟹,去,祭,來,開,三,次濁,力,制,,,,,,,,,,,
穨,Đồi,doj2,弦聲,tuí,蟹,平,灰,定,合,一,全濁,杜,回,,,,,,,,,,,
穩,Ổn,on3,問聲,wěn,臻,上,混,影,合,一,全清,烏,本,,,,,,,,,,,
簫,Tiêu,tiew1,平聲,xiāo,效,平,蕭,心,開,四,全清,蘇,彫,,,,,,,,,,,
簷,Diêm,ziem1,平聲,yán,咸,平,鹽,以,開,三,次濁,余,廉,,,,,,,,,,,
簸,Bá,ba:5,銳聲,bò,果,去,過,幫,合,一,全清,補,過,,,,,,,,,,,
簹,Đương,dɯɤŋ1,平聲,dāng,宕,平,唐,端,開,一,全清,都,郎,,,,,,,,,,,
簾,Liêm,liem1,平聲,lián,咸,平,鹽,來,開,三,次濁,力,鹽,,,,,,,,,,,
簿,Bộ,bo6,重聲,bù,遇,上,姥,並,合,一,全濁,裴,古,,,,,,,,,,,
簿,Bạc,ba:k8,重入,bó,宕,入,鐸,並,開,一,全濁,傍,各,,,,,,,,,,,
籀,Trứu,tʂɯw5,銳聲,zhòu,流,去,宥,澄,開,三,全濁,直,祐,,,,,,,,,,,
籁,Lại,la:j6,重聲,lài,蟹,去,泰,來,開,一,次濁,落,蓋,,,,,,,,,,,
繡,Tú,tu5,銳聲,xiù,流,去,宥,心,開,三,全清,息,救,,,,,,,,,,,
繩,Thằng,t'aŋ2,弦聲,shéng,曾,平,蒸,船,開,三,全濁,食,陵,,,,,,,,,,,
繪,Hội,hoj6,重聲,huì,蟹,去,泰,匣,合,一,全濁,黃,外,,,,,,,,,,,
繫,Hệ,he6,重聲,xì,蟹,去,霽,匣,開,四,全濁,胡,計,,,,,,,,,,,
繮,Cương,kɯɤŋ1,平聲,jiāng,宕,平,陽,見,開,三,全清,居,良,,,,,,,,,,,
繯,Hoán,hwa:n5,銳聲,huán,山,去,諫,匣,合,二,全濁,胡,慣,,,,,,,,,,,
繳,Kiểu,kiew3,問聲,jiǎo,效,上,篠,見,開,四,全清,古,了,,,,,,,,,,,
繳,Chước,tʂɯɤk7,銳入,jiǎo,宕,入,藥,章,開,三,全清,之,若,,,,,,,,,,,
繹,Dịch,ziʧ8,重入,yì,梗,入,昔,以,開,三,次濁,羊,益,,,,,,,,,,,
繾,Khiển,xien3,問聲,qiǎn,山,上,獮,溪,開,三,次清,去,演,,,,,,,,,,,
罋,Úng,uŋ5,銳聲,wèng,通,去,送,影,合,一,全清,烏,貢,,,,,,,,,,,
羅,La,la:1,平聲,luó,果,平,歌,來,開,一,次濁,魯,何,,,,,,,,,,,
羆,Bi,bi1,平聲,pí,止,平,支,幫,開,三,全清,彼,為,,,,,,,,,,,
羶,Thiên,t'ien1,平聲,shān,山,平,仙,書,開,三,全清,式,連,,,,,,,,,,,
羸,Luy,lwi1,平聲,léi,止,平,支,來,合,三,次濁,力,為,,,,,,,,,,,
羹,Canh,ka:ɲ1,平聲,gēng,梗,平,庚,見,開,二,全清,古,行,,,,,,,,,,,
翽,Hối,hoj5,銳聲,huì,蟹,去,泰,曉,合,一,次清,呼,會,,,,,,,,,,,
翾,Huyên,hwien1,平聲,xuān,山,平,仙,曉,合,三,次清,許,緣,,,,,,,,,,,
臕,Phiêu,fiew1,平聲,biāo,效,平,宵,幫,開,三,全清,甫,嬌,,,,,,,,,,,
臘,Lạp,la:p8,重入,là,咸,入,盍,來,開,一,次濁,盧,盍,,,,,,,,,,,
舚,Thiêm,t'iem1,平聲,tān,咸,平,添,透,開,四,次清,他,兼,,,,,,,,,,,
艣,Lỗ,lo4,跌聲,lǔ,遇,上,姥,來,合,一,次濁,郎,古,,,,,,,,,,,
艤,Nghĩ,ŋi4,跌聲,yǐ,止,上,紙,疑,開,三,次濁,魚,倚,,,,,,,,,,,
艨,Mông,moŋ1,平聲,méng,通,平,東,明,合,一,次濁,莫,紅,,,,,,,,,,,
艶,Diễm,ziem4,跌聲,yàn,咸,去,豔,以,開,三,次濁,以,贍,,,,,,,,,,,
藶,Lịch,liʧ8,重入,lì,梗,入,錫,來,開,四,次濁,郎,擊,,,,,,,,,,,
藹,Ái,a:j5,銳聲,ǎi,蟹,去,泰,影,開,一,全清,於,蓋,,,,,,,,,,,
藺,Lận,lɤn6,重聲,lìn,臻,去,震,來,開,三,次濁,良,刃,,,,,,,,,,,
藻,Tảo,ta:w3,問聲,zǎo,效,上,晧,精,開,一,全清,子,晧,,,,,,,,,,,
藿,Hoắc,hwak7,銳入,huò,宕,入,鐸,曉,合,一,次清,虛,郭,,,,,,,,,,,
蘀,Thác,t'a:k7,銳入,tuò,宕,入,鐸,透,開,一,次清,他,各,,,,,,,,,,,
蘂,Nhị,ɲi6,重聲,ruǐ,止,上,紙,日,合,三,次濁,如,累,,,,,,,,,,,
蘄,Kì,ki2,弦聲,qí,止,平,之,羣,開,三,全濁,渠,之,,,,,,,,,,,
蘅,Hành,ha:ɲ2,弦聲,héng,梗,平,庚,匣,開,二,全濁,戶,庚,,,,,,,,,,,
蘆,Lô,lo1,平聲,lú,遇,平,模,來,合,一,次濁,落,胡,,,,,,,,,,,
蘇,Tô,to1,平聲,sū,遇,平,模,心,合,一,全清,素,姑,,,,,,,,,,,
蘊,Uẩn,wɤn3,問聲,yùn,臻,上,吻,影,合,三,全清,於,粉,,,,,,,,,,,
蘋,Tần,tɤn2,弦聲,pín,臻,平,真,並,開,三,全濁,符,真,,,,,,,,,,,
蘧,Cừ,kɯ2,弦聲,qú,遇,平,魚,羣,開,三,全濁,強,魚,,,,,,,,,,,
蟶,Sanh,ʂa:ɲ1,平聲,chēng,梗,平,清,徹,開,三,次清,丑,貞,,,,,,,,,,,
蟹,Giải,ʑa:j3,問聲,xiè,蟹,上,蟹,匣,開,二,全濁,胡,買,,,,,,,,,,,
蟺,Thiện,t'ien6,重聲,shàn,山,上,獮,禪,開,三,全濁,常,演,,,,,,,,,,,
蟻,Nghĩ,ŋi4,跌聲,yǐ,止,上,紙,疑,開,三,次濁,魚,倚,,,,,,,,,,,
蟾,Thiềm,t'iem2,弦聲,chán,咸,平,鹽,禪,開,三,全濁,視,占,,,,,,,,,,,
蠃,Loa,lwa:1,平聲,luó,果,平,戈,來,合,一,次濁,落,戈,,,,,,,,,,,
蠃,Lỏa,lwa:3,問聲,luǒ,果,上,果,來,合,一,次濁,郎,果,,,,,,,,,,,
蠅,Dăng,zaŋ1,平聲,yíng,曾,平,蒸,以,開,三,次濁,余,陵,,,,,,,,,,,
蠉,Huyên,hwien1,平聲,xuān,山,平,仙,曉,合,三,次清,許,緣,,,,,,,,,,,
蠊,Liêm,liem1,平聲,lián,咸,平,鹽,來,開,三,次濁,力,鹽,,,,,,,,,,,
蠋,Trục,tʂuk8,重入,zhú,通,入,燭,澄,合,三,全濁,直,錄,,,,,,,,,,,
蠍,Hiết,hiet7,銳入,xiē,山,入,月,曉,開,三,次清,許,竭,,,,,,,,,,,
蠓,Mông,moŋ1,平聲,méng,通,平,東,明,合,一,次濁,莫,紅,,,,,,,,,,,
蠖,Hoạch,hwa:ʧ8,重入,huò,宕,入,鐸,影,合,一,全清,烏,郭,,,,,,,,,,,
襞,Bích,biʧ7,銳入,bì,梗,入,昔,幫,開,三,全清,必,益,,,,,,,,,,,
襤,Lam,la:m1,平聲,lán,咸,平,談,來,開,一,次濁,魯,甘,,,,,,,,,,,
襦,Nhu,ɲu1,平聲,rú,遇,平,虞,日,合,三,次濁,人,朱,,,,,,,,,,,
襪,Vạt,vɤt8,重入,wà,山,入,月,微,合,三,次濁,望,發,,,,,,,,,,,
覈,Hạch,ha:ʧ8,重入,hé,梗,入,麥,匣,開,二,全濁,下,革,,,,,,,,,,,
觶,Chí,tʂi5,銳聲,zhì,止,去,寘,章,開,三,全清,支,義,,,,,,,,,,,
譆,Hi,hi1,平聲,xī,止,平,之,曉,開,三,次清,許,其,,,,,,,,,,,
譈,Đỗi,doj4,跌聲,duì,蟹,去,隊,定,合,一,全濁,徒,對,,,,,,,,,,,
證,Chứng,tʂɯŋ5,銳聲,zhèng,曾,去,證,章,開,三,全清,諸,應,,,,,,,,,,,
譊,Nao,na:w1,平聲,náo,效,平,肴,娘,開,二,次濁,女,交,,,,,,,,,,,
譎,Quyệt,kwiet8,重入,jué,山,入,屑,見,合,四,全清,古,穴,,,,,,,,,,,
譏,Ki,ki1,平聲,jī,止,平,微,見,開,三,全清,居,依,,,,,,,,,,,
譔,Soạn,ʂwa:n6,重聲,zhuàn,山,去,線,崇,合,三,全濁,七,戀,,,,,,,,,,,
譖,Trấm,tʂɤm5,銳聲,zèn,深,去,沁,莊,開,三,全清,莊,蔭,,,,,,,,,,,
識,Chí,tʂi5,銳聲,zhì,止,去,志,章,開,三,全清,職,吏,,,,,,,,,,,
識,Thức,t'ɯk7,銳入,shì,曾,入,職,書,開,三,全清,賞,職,,,,,,,,,,,
譙,Tiều,tiew2,弦聲,qiáo,效,平,宵,從,開,三,全濁,昨,焦,,,,,,,,,,,
譚,Đàm,da:m2,弦聲,tán,咸,平,覃,定,開,一,全濁,徒,含,,,,,,,,,,,
譜,Phổ,fo3,問聲,pǔ,遇,上,姥,幫,合,一,全清,博,古,,,,,,,,,,,
警,Cảnh,ka:ɲ3,問聲,jǐng,梗,上,梗,見,開,三,全清,居,影,,,,,,,,,,,
豷,Ế,e5,銳聲,yì,蟹,去,霽,影,開,四,全清,於,計,,,,,,,,,,,
贈,Tặng,taŋ6,重聲,zèng,曾,去,嶝,從,開,一,全濁,昨,亘,,,,,,,,,,,
贉,Đảm,da:m3,問聲,tǎn,咸,上,感,定,開,一,全濁,徒,感,,,,,,,,,,,
贊,Tán,ta:n5,銳聲,zàn,山,去,翰,精,開,一,全清,則,旰,,,,,,,,,,,
贋,Nhạn,ɲa:n6,重聲,yàn,山,去,諫,疑,開,二,次濁,五,晏,,,,,,,,,,,
蹬,Đặng,daŋ6,重聲,dèng,曾,去,嶝,定,開,一,全濁,徒,亘,,,,,,,,,,,
蹭,Thặng,t'aŋ6,重聲,cèng,曾,去,嶝,清,開,一,次清,千,鄧,,,,,,,,,,,
蹯,Phiền,fien2,弦聲,fán,山,平,元,奉,合,三,全濁,附,袁,,,,,,,,,,,
蹲,Tồn,ton2,弦聲,dūn,臻,平,魂,從,合,一,全濁,徂,尊,,,,,,,,,,,
蹴,Xúc,suk7,銳入,cù,通,入,屋,精,合,三,全清,子,六,,,,,,,,,,,
蹶,Quệ,kwe6,重聲,jué,蟹,去,祭,見,合,三,全清,居,衛,,,,,,,,,,,
蹶,Quyết,kwiet7,銳入,jué,山,入,月,見,合,三,全清,居,月,,,,,,,,,,,
蹺,Khiêu,xiew1,平聲,qiāo,效,平,宵,溪,開,三,次清,去,遙,,,,,,,,,,,
蹻,Khiêu,xiew1,平聲,qiāo,效,平,宵,溪,開,三,次清,去,遙,,,,,,,,,,,
蹻,Kiểu,kiew3,問聲,jiǎo,效,上,小,見,開,三,全清,居,夭,,,,,,,,,,,
蹻,Cược,kɯɤk8,重入,jué,宕,入,藥,羣,開,三,全濁,其,虐,,,,,,,,,,,
蹼,Bốc,bok7,銳入,pú,通,入,屋,幫,合,一,全清,博,木,,,,,,,,,,,
轍,Triệt,tʂiet8,重入,chèn,山,入,薛,澄,開,三,全濁,直,列,,,,,,,,,,,
轎,Kiệu,kiew6,重聲,jiào,效,去,笑,羣,開,三,全濁,渠,廟,,,,,,,,,,,
轔,Lân,lɤn1,平聲,lín,臻,平,真,來,開,三,次濁,力,珍,,,,,,,,,,,
辭,Từ,tɯ2,弦聲,cí,止,平,之,邪,開,三,全濁,似,茲,,,,,,,,,,,
醭,Phốc,fok7,銳入,pū,通,入,屋,滂,合,一,次清,普,木,,,,,,,,,,,
醮,Tiếu,tiew5,銳聲,zhàn,效,去,笑,精,開,三,全清,子,肖,,,,,,,,,,,
醮,Tiếu,tiew5,銳聲,jiào,效,去,笑,精,開,三,全清,子,肖,,,,,,,,,,,
醯,Ê,e1,平聲,xī,蟹,平,齊,曉,開,四,次清,呼,雞,,,,,,,,,,,
醰,Đàm,da:m2,弦聲,tán,咸,去,勘,定,開,一,全濁,徒,紺,,,,,,,,,,,
醱,Phát,fa:t7,銳入,pò,山,入,末,滂,合,一,次清,普,活,,,,,,,,,,,
鏃,Thốc,t'ot7,銳入,zú,通,入,屋,精,合,一,全清,作,木,,,,,,,,,,,
鏇,Tuyền,twien2,弦聲,xuàn,山,平,仙,邪,合,三,全濁,似,宣,,,,,,,,,,,
鏐,Lưu,lɯw1,平聲,liú,流,平,尤,來,開,三,次濁,力,求,,,,,,,,,,,
鏑,Đích,diʧ7,銳入,dí,梗,入,錫,端,開,四,全清,都,歷,,,,,,,,,,,
鏖,Ao,a:w1,平聲,áo,效,平,豪,影,開,一,全清,於,刀,,,,,,,,,,,
鏗,Khanh,xa:ɲ1,平聲,kēng,梗,平,耕,溪,開,二,次清,口,莖,,,,,,,,,,,
鏘,Thương,t'ɯɤŋ1,平聲,qiāng,宕,平,陽,清,開,三,次清,七,羊,,,,,,,,,,,
鏜,Thang,t'a:ŋ1,平聲,tāng,宕,平,唐,透,開,一,次清,吐,郎,,,,,,,,,,,
鏝,Man,ma:n1,平聲,màn,山,平,桓,明,合,一,次濁,母,官,,,,,,,,,,,
鏞,Dong,zɔŋ1,平聲,yōng,通,平,鍾,以,合,三,次濁,餘,封,,,,,,,,,,,
鏟,Sạn,ʂa:n6,重聲,chǎn,山,去,諫,初,開,二,次清,初,鴈,,,,,,,,,,,
鏡,Kính,kiɲ5,銳聲,jìng,梗,去,映,見,開,三,全清,居,慶,,,,,,,,,,,
鏢,Tiêu,tiew1,平聲,biāo,效,平,宵,滂,開,三,次清,撫,招,,,,,,,,,,,
鏤,Lũ,lu4,跌聲,lòu,流,去,候,來,開,一,次濁,盧,候,,,,,,,,,,,
鏨,Tạm,ta:m6,重聲,zàn,咸,去,闞,從,開,一,全濁,藏,濫,,,,,,,,,,,
鐄,Hoành,hwa:ɲ2,弦聲,héng,梗,平,庚,匣,合,二,全濁,戶,盲,,,,,,,,,,,
闚,Khuy,xwi1,平聲,kuī,止,平,支,溪,合,三,次清,去,隨,,,,,,,,,,,
關,Quan,kwa:n1,平聲,guān,山,平,刪,見,合,二,全清,古,還,,,,,,,,,,,
闞,Hám,ha:m5,銳聲,hǎn,咸,去,鑑,曉,開,二,次清,許,鑑,,,,,,,,,,,
闞,Giảm,ʑa:m3,問聲,kàn,咸,去,闞,溪,開,一,次清,苦,濫,,,,,,,,,,,
難,Nan,na:n1,平聲,nán,山,平,寒,泥,開,一,次濁,那,干,,,,,,,,,,,
難,Nạn,na:n6,重聲,nàn,山,去,翰,泥,開,一,次濁,奴,案,,,,,,,,,,,
霪,Dâm,zɤm1,平聲,yín,深,平,侵,以,開,三,次濁,餘,針,,,,,,,,,,,
靡,Mĩ,mi4,跌聲,mǐ,止,上,紙,明,開,三,次濁,文,彼,,,,,,,,,,,
鞳,Tháp,t'a:p7,銳入,tà,咸,入,合,透,開,一,次清,他,荅,,,,,,,,,,,
鞴,Bị,bi6,重聲,bèi,止,去,至,並,開,三,全濁,平,祕,,,,,,,,,,,
鞵,Hài,ha:j2,弦聲,xié,蟹,平,佳,匣,開,二,全濁,戶,佳,,,,,,,,,,,
鞶,Bàn,ba:n2,弦聲,pán,山,平,桓,並,合,一,全濁,薄,官,,,,,,,,,,,
鞹,Khoác,xwa:k7,銳入,kuò,宕,入,鐸,溪,合,一,次清,苦,郭,,,,,,,,,,,
鞾,Ngoa,ŋwa:1,平聲,xuē,果,平,戈,曉,合,三,次清,許,𦚢𦚢,,,,,,,,,,,
韛,Bị,bi6,重聲,bèi,蟹,去,怪,並,合,二,全濁,蒲,拜,,,,,,,,,,,
韜,Thao,t'a:w1,平聲,tāo,效,平,豪,透,開,一,次清,土,刀,,,,,,,,,,,
韝,Câu,kɤw1,平聲,gōu,流,平,侯,見,開,一,全清,古,侯,,,,,,,,,,,
韠,Tất,tɤt7,銳入,bì,臻,入,質,幫,開,三,全清,卑,吉,,,,,,,,,,,
韡,Vĩ,vi4,跌聲,wěi,止,上,尾,云,合,三,次濁,于,鬼,,,,,,,,,,,
韻,Vận,vɤn6,重聲,yùn,臻,去,問,云,合,三,次濁,王,問,,,,,,,,,,,
顗,Nghĩ,ŋi4,跌聲,yǐ,止,上,尾,疑,開,三,次濁,魚,豈,,,,,,,,,,,
願,Nguyện,ŋwien6,重聲,yuàn,山,去,願,疑,合,三,次濁,魚,怨,,,,,,,,,,,
顙,Tảng,ta:ŋ3,問聲,sǎng,宕,上,蕩,心,開,一,全清,蘇,朗,,,,,,,,,,,
顛,Điên,dien1,平聲,diān,山,平,先,端,開,四,全清,都,年,,,,,,,,,,,
類,Loại,lwa:j6,重聲,lèi,止,去,至,來,合,三,次濁,力,遂,,,,,,,,,,,
颻,Diêu,ziew1,平聲,yáo,效,平,宵,以,開,三,次濁,餘,昭,,,,,,,,,,,
饅,Man,ma:n1,平聲,mán,山,平,桓,明,合,一,次濁,母,官,,,,,,,,,,,
饉,Cận,kɤn6,重聲,jǐn,臻,去,震,羣,開,三,全濁,渠,遴,,,,,,,,,,,
騖,Vụ,vu6,重聲,wù,遇,去,遇,微,合,三,次濁,亡,遇,,,,,,,,,,,
騙,Phiến,fien5,銳聲,piàn,山,去,線,滂,開,三,次清,匹,戰,,,,,,,,,,,
騣,Tông,toŋ1,平聲,zōng,通,平,東,精,合,一,全清,子,紅,,,,,,,,,,,
騩,Quỷ,kwi3,問聲,guī,止,去,至,見,合,三,全清,俱,位,,,,,,,,,,,
騭,Chất,tʂɤt7,銳入,zhì,臻,入,質,章,開,三,全清,之,日,,,,,,,,,,,
騰,Đằng,daŋ2,弦聲,téng,曾,平,登,定,開,一,全濁,徒,登,,,,,,,,,,,
騷,Tao,ta:w1,平聲,sāo,效,平,豪,心,開,一,全清,蘇,遭,,,,,,,,,,,
鬉,Tông,toŋ1,平聲,zōng,通,平,東,精,合,一,全清,子,紅,,,,,,,,,,,
鬋,Tiên,tien1,平聲,jiān,山,平,仙,精,開,三,全清,子,仙,,,,,,,,,,,
鬌,Đỏa,dwa:3,問聲,duǒ,果,上,果,端,合,一,全清,丁,果,,,,,,,,,,,
魑,Si,ʂi1,平聲,chī,止,平,支,徹,開,三,次清,丑,知,,,,,,,,,,,
鯖,Chinh,tʂiɲ1,平聲,qīng,梗,平,清,章,開,三,全清,諸,盈,,,,,,,,,,,
鯖,Thinh,t'iɲ1,平聲,qīng,梗,平,青,清,開,四,次清,倉,經,,,,,,,,,,,
鯗,Tưởng,tɯɤŋ3,問聲,xiǎng,宕,上,養,心,開,三,全清,息,兩,,,,,,,,,,,
鯛,Điêu,diew1,平聲,diāo,效,平,蕭,端,開,四,全清,都,聊,,,,,,,,,,,
鯠,Lai,la:j1,平聲,lái,蟹,平,咍,來,開,一,次濁,落,哀,,,,,,,,,,,
鯢,Nghê,ŋe1,平聲,ní,蟹,平,齊,疑,開,四,次濁,五,稽,,,,,,,,,,,
鯤,Côn,kon1,平聲,kūn,臻,平,魂,見,合,一,全清,古,渾,,,,,,,,,,,
鯧,Xương,sɯɤŋ1,平聲,chāng,宕,平,陽,昌,開,三,次清,尺,良,,,,,,,,,,,
鯨,Kình,kiɲ2,弦聲,jīng,梗,平,庚,羣,開,三,全濁,渠,京,,,,,,,,,,,
鯪,Lăng,laŋ1,平聲,líng,曾,平,蒸,來,開,三,次濁,力,膺,,,,,,,,,,,
鯫,Tưu,tɯw1,平聲,zōu,遇,平,虞,清,合,三,次清,七,逾,,,,,,,,,,,
鯫,Tẩu,tɤw3,問聲,qū,流,上,厚,從,開,一,全濁,仕,垢,,,,,,,,,,,
鵡,Vũ,vu4,跌聲,wǔ,遇,上,麌,微,合,三,次濁,文,甫,,,,,,,,,,,
鵩,Phục,fuk8,重入,fú,通,入,屋,奉,合,三,全濁,房,六,,,,,,,,,,,
鵪,Am,a:m1,平聲,ān,咸,平,覃,影,開,一,全清,烏,含,,,,,,,,,,,
鵬,Bằng,baŋ2,弦聲,péng,曾,平,登,並,開,一,全濁,步,崩,,,,,,,,,,,
鵰,Điêu,diew1,平聲,diāo,效,平,蕭,端,開,四,全清,都,聊,,,,,,,,,,,
鵲,Thước,t'ɯɤk7,銳入,què,宕,入,藥,清,開,三,次清,七,雀,,,,,,,,,,,
鵶,Nha,ɲa:1,平聲,yā,假,平,麻,影,開,二,全清,於,加,,,,,,,,,,,
鵷,Uyên,wien1,平聲,yuān,山,平,元,影,合,三,全清,於,袁,,,,,,,,,,,
鵻,Giai,ʑa:j1,平聲,zhuī,止,平,脂,章,合,三,全清,職,追,,,,,,,,,,,
鵾,Côn,kon1,平聲,kūn,臻,平,魂,見,合,一,全清,古,渾,,,,,,,,,,,
鶉,Thuần,t'wɤn2,弦聲,chún,臻,平,諄,禪,合,三,全濁,常,倫,,,,,,,,,,,
鶊,Canh,ka:ɲ1,平聲,gēng,梗,平,庚,見,開,二,全清,古,行,,,,,,,,,,,
鹹,Hàm,ha:m2,弦聲,xián,咸,平,咸,匣,開,二,全濁,胡,讒,,,,,,,,,,,
麑,Nghê,ŋe1,平聲,ní,蟹,平,齊,疑,開,四,次濁,五,稽,,,,,,,,,,,
麒,Kì,ki2,弦聲,qí,止,平,之,羣,開,三,全濁,渠,之,,,,,,,,,,,
麓,Lộc,lok8,重入,lù,通,入,屋,來,合,一,次濁,盧,谷,,,,,,,,,,,
麕,Quân,kwɤn1,平聲,jūn,臻,平,真,見,開,三,全清,居,筠,,,,,,,,,,,
麗,Lệ,le6,重聲,lì,蟹,去,霽,來,開,四,次濁,郎,計,,,,,,,,,,,
麗,Li,li1,平聲,lí,止,平,支,來,開,三,次濁,呂,支,,,,,,,,,,,
麴,Khúc,xuk7,銳入,qú,通,入,屋,溪,合,三,次清,驅,匊,,,,,,,,,,,
黼,Phủ,fu3,問聲,fǔ,遇,上,麌,非,合,三,全清,方,矩,,,,,,,,,,,
鼃,Oa,wa:1,平聲,wā,蟹,平,佳,影,合,二,全清,烏,媧,,,,,,,,,,,
鼗,Đào,da:w2,弦聲,táo,效,平,豪,定,開,一,全濁,徒,刀,,,,,,,,,,,
鼮,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
齗,Ngân,ŋɤn1,平聲,kěn,臻,平,欣,疑,開,三,次濁,語,斤,,,,,,,,,,,
齘,Giới,ʑɤ:j5,銳聲,xiè,蟹,去,怪,匣,開,二,全濁,胡,介,,,,,,,,,,,
龐,Bàng,ba:ŋ2,弦聲,páng,江,平,江,並,開,二,全濁,薄,江,,,,,,,,,,,
嚱,Hi,hi1,平聲,xì,止,平,支,曉,開,三,次清,許,羈,,,,,,,,,,,
嚲,Đả,da:3,問聲,duǒ,果,上,哿,端,開,一,全清,丁,可,,,,,,,,,,,
嚳,Khốc,xok7,銳入,kù,通,入,沃,溪,合,一,次清,苦,沃,,,,,,,,,,,
嚶,Anh,a:ɲ1,平聲,yīng,梗,平,耕,影,開,二,全清,烏,莖,,,,,,,,,,,
嚼,Tước,tɯɤk7,銳入,jiáo,宕,入,藥,從,開,三,全濁,在,爵,,,,,,,,,,,
壤,Nhưỡng,ɲɯɤŋ4,跌聲,rǎng,宕,上,養,日,開,三,次濁,如,兩,,,,,,,,,,,
孀,Sương,ʂɯɤŋ1,平聲,shuāng,宕,平,陽,生,開,三,全清,色,莊,,,,,,,,,,,
孃,Nương,nɯɤŋ1,平聲,niáng,宕,平,陽,娘,開,三,次濁,女,良,,,,,,,,,,,
寶,Bảo,ba:w3,問聲,bǎo,效,上,晧,幫,開,一,全清,博,抱,,,,,,,,,,,
