汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
以,Dĩ,zi4,跌聲,yǐ,止,上,止,以,開,三,次濁,羊,己,,,,,,,,,,,
兄,Huynh,hwiɲ1,平聲,xiōng,梗,平,庚,曉,合,三,次清,許,榮,,,,,,,,,,,
冉,Nhiễm,ɲiem4,跌聲,rǎn,咸,上,琰,日,開,三,次濁,而,琰,,,,,,,,,,,
册,Sách,ʂa:ʧ7,銳入,cè,梗,入,麥,初,開,二,次清,楚,革,,,,,,,,,,,
冬,Đông,doŋ1,平聲,dōng,通,平,冬,端,合,一,全清,都,宗,,,,,,,,,,,
凷,Khối,xoj5,銳聲,kuài,蟹,去,隊,溪,合,一,次清,苦,對,,,,,,,,,,,
凸,Đột,dot8,重入,tū,臻,入,沒,定,合,一,全濁,陀,骨,,,,,,,,,,,
凹,Ao,a:w1,平聲,āo,咸,入,洽,影,開,二,全清,烏,洽,,,,,,,,,,,
出,Xuất,swɤt7,銳入,chū,臻,入,術,昌,合,三,次清,赤,律,,,,,,,,,,,
刊,San,ʂa:n1,平聲,kān,山,平,寒,溪,開,一,次清,苦,寒,,,,,,,,,,,
功,Công,koŋ1,平聲,gōng,通,平,東,見,合,一,全清,古,紅,,,,,,,,,,,
加,Gia,ʑa:1,平聲,jiā,假,平,麻,見,開,二,全清,古,牙,,,,,,,,,,,
匃,Cái,ka:j5,銳聲,gài,蟹,去,泰,見,開,一,全清,古,太,,,,,,,,,,,
包,Bao,ba:w1,平聲,bāo,效,平,肴,幫,開,二,全清,布,交,,,,,,,,,,,
北,Bắc,bak7,銳入,běi,曾,入,德,幫,開,一,全清,博,墨,,,,,,,,,,,
匜,Di,zi1,平聲,yí,止,平,支,以,開,三,次濁,弋,支,,,,,,,,,,,
